rank,title,score,vote_count,release_date,regions,types,actors,url,cover_url
45,名侦探柯南：世纪末的魔术师,8.7,151878,1999-04-17,日本,"犯罪,动画,悬疑,冒险","['高山南', '山崎和佳奈', '茶风林', '绪方贤一', '盐泽兼人', '神谷明', '林原惠美', '岩居由希子', '高木涉', '大谷育江']",https://movie.douban.com/subject/2279152/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453729256.jpg
46,血观音,8.6,552285,2017-10-15,中国台湾,"剧情,悬疑","['惠英红', '吴可熙', '文淇', '柯佳嬿', '陈莎莉', '丁强', '刘尚谦', '林志儒', '王月', '温贞菱']",https://movie.douban.com/subject/27113517/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2505008756.jpg
47,源代码,8.6,921130,2011-08-30,"美国,加拿大","科幻,悬疑,惊悚","['杰克·吉伦哈尔', '维拉·法米加', '米歇尔·莫纳汉', '杰弗里·怀特', '拉塞尔·皮特斯', '詹姆斯·A·伍兹', '迈克尔·阿登', '乔·柯布登 ', '卡斯·安瓦尔', '凯尔·盖特豪斯']",https://movie.douban.com/subject/3075287/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p988260245.jpg
48,彗星来的那一夜,8.6,679223,2013-09-19,"美国,英国","科幻,悬疑,惊悚","['艾米丽·芭尔多尼', '莫瑞·史特林', '尼古拉斯·布兰登', '劳伦·斯卡法莉娅', '伊丽莎白·格瑞斯', '雨果·阿姆斯特朗', '亚历克斯·马努吉安', '劳伦·马赫']",https://movie.douban.com/subject/25807345/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2187896734.jpg
49,吸血鬼猎人D,8.9,52714,2000-10-31,"日本,美国","动作,动画,悬疑,奇幻,冒险,恐怖","['田中秀幸', '永井一郎', '山寺宏一', '林原惠美', '筱原惠美', '屋良有作', '大塚芳忠', '关俊彦', '大友龙三郎', '大塚周夫']",https://movie.douban.com/subject/1306982/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453851762.jpg
50,谍影重重,8.6,485576,2002-11-21,"美国,德国,捷克","动作,悬疑,惊悚","['马特·达蒙', '弗朗卡·波滕特', '克里斯·库珀', '克里夫·欧文', '朱丽娅·斯蒂尔斯', '布莱恩·考克斯', '阿德沃尔·阿吉纽依-艾格拜吉', '加布里埃尔·曼', '沃尔顿·戈金斯', '约什·汉密尔顿']",https://movie.douban.com/subject/1304102/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1597183981.jpg
51,赎罪,8.6,454250,2008-02-22,"英国,法国","剧情,悬疑,爱情,战争","['詹姆斯·麦卡沃伊', '西尔莎·罗南', '凯拉·奈特莉', '本尼迪克特·康伯巴奇', '布兰达·布莱斯', '哈丽特·瓦尔特', '朱诺·坦普尔', '阿尔菲·艾伦', '帕特里克·肯尼迪', '彼得·怀特']",https://movie.douban.com/subject/1950148/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2174553771.jpg
52,非常嫌疑犯,8.6,288192,1995-01-25,"德国,美国","犯罪,悬疑,惊悚","['史蒂芬·鲍德温', '加布里埃尔·伯恩', '本尼西奥·德尔·托罗', '凯文·波拉克', '凯文·史派西', '查兹·帕尔明特瑞', '皮特·波斯尔思韦特', '苏茜·爱米斯', '吉安卡罗·埃斯波西托', '丹·哈达亚']",https://movie.douban.com/subject/1292214/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2455372830.jpg
53,大卫·戈尔的一生,8.6,258611,2003-02-21,"美国,德国,英国,西班牙","剧情,犯罪,悬疑","['凯文·史派西', '凯特·温斯莱特', '劳拉·琳妮', '加布里埃尔·曼', '梅丽莎·麦卡西', '罗娜·迈特拉', '艾伦·帕克', '吉姆·比弗', '马特·克拉文', '马可·佩雷拉']",https://movie.douban.com/subject/1305725/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2186861098.jpg
54,守望者,8.6,238800,2009-03-06,美国,"动作,科幻,悬疑","['帕特里克·威尔森', '卡拉·古奇诺', '比利·克鲁德普', '玛琳·阿克曼', '杰弗里·迪恩·摩根', '马修·古迪', '杰基·厄尔·哈利', '马特·弗里沃', '史蒂芬·麦克哈蒂', '劳拉·门内尔']",https://movie.douban.com/subject/1972698/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1663601927.jpg
